Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
102-1041-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,2567067.17,105.98,105.98,2 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,Biltmore Sufouh
102-1051-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1156680.00,66.48,66.48,1 B/R,1,,,,1,1,,Samana Barari Views
102-1055-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1132222.00,78.36,78.36,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1056-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,772740.00,39.11,39.11,Studio,1,,,,2,1,,Samana Barari Views
102-1058-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1053222.00,76.87,76.87,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1059-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1754460.00,100.13,100.13,2 B/R,1,,,,1,1,,Samana Barari Views
102-1061-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1171260.00,61.44,61.44,1 B/R,1,,,,1,1,,Samana Barari Views
102-1062-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,937222.00,65.72,65.72,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1063-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1118000.00,73.89,73.89,1 B/R,1,,,,1,1,,Samana Barari Views
102-1065-2024,30/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,981222.00,75.59,75.59,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1102-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1220000.00,92.64,92.64,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,THE VYBE
102-1103-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1084883.00,78.09,78.09,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,THE VYBE
102-1117-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,4900000.00,173.13,173.13,3 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Imperial Avenue
102-1158-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,737500.00,39.13,39.13,Studio,1,,,,1,1,,Samana Barari Views
102-1161-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1071198.00,66.48,66.48,1 B/R,1,,,,1,1,,Samana Barari Views
102-1194-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1754460.00,101.69,101.69,2 B/R,1,,,,1,1,,Samana Barari Views
102-1197-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1074000.00,67.25,67.25,1 B/R,1,,,,1,1,,Samana Barari Views
102-1276-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,1988918.00,63.22,63.22,1 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,Biltmore Sufouh
102-1277-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,2159136.00,66.93,66.93,1 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,Biltmore Sufouh
102-1295-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1187352.00,69.85,69.85,1 B/R,1,,,,3,1,,Samana Barari Views
102-1360-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,990222.00,75.59,75.59,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1375-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,967222.00,81.96,81.96,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,THE HAVEN GARDEN
102-1392-2024,29/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,7880000.00,258.36,258.36,3 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,City Center Residences
102-1487-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,2099466.00,107.63,107.63,2 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,Biltmore Sufouh
102-1491-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,3100000.00,123.32,123.32,2 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,Biltmore Sufouh
102-1493-2024,23/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,SUFOUH GARDENS,Unit,Hotel Apartment,2843433.60,109.42,109.42,2 B/R,1,Dubai Internet City,Mall of the Emirates,Burj Al Arab,2,1,,Biltmore Sufouh
